idx	X	Y	component
413	9911.376638175698	38776.56200897109	0
414	9911.377144278202	38776.5619392443	0
415	9912.386150820799	38776.3315177533	0
416	9911.377727962412	38776.56219346383	0
417	9912.386787886458	38776.34035416362	0
418	9912.387663433747	38776.34053937544	0
419	9914.503026170714	38776.42060654484	0
420	9914.502866014336	38776.4205681152	0
421	9915.538056542162	38776.41436957016	0
422	9914.498301789768	38776.42192872222	0
423	9915.535288096962	38776.41449634347	0
424	9915.539108871464	38776.41452158103	0
425	9917.640882798401	38776.47698110415	0
426	9917.641110155229	38776.4767609392	0
427	9918.685952135849	38776.41312720476	0
428	9917.64109226063	38776.47698574803	0
429	9918.689961918739	38776.41259132954	0
430	9918.686029490276	38776.4131527799	0
431	9920.783731676809	38776.45264817258	0
432	9920.784318879574	38776.45262481395	0
433	9921.818910731177	38776.61895211536	0
434	9920.78303833383	38776.45235276574	0
435	9921.819749725528	38776.6199771189	0
436	9921.819913746676	38776.62002039724	0
437	9923.825484770274	38777.24233666804	0
438	9923.82536647324	38777.2422934436	0
439	9924.810028079086	38777.53337355788	0
440	9923.822935578453	38777.24311277075	0
441	9924.811319155899	38777.53672336192	0
442	9924.811159295808	38777.53666761451	0
443	9999.426826151575	38795.37813279939	0
444	9999.435084337987	38795.38024985287	0
445	9999.719075258374	38796.05121027835	0
446	9999.42682615107	38795.37813280025	0
447	9999.808426971686	38796.05388523195	0
448	9999.813484555929	38796.05782603683	0
449	10082.57733245082	38831.72535335981	0
450	10082.57732304672	38831.72562674787	0
451	10083.59836962528	38831.93422689532	0
452	10082.57112755263	38831.72833302825	0
453	10083.59954455928	38831.9305089054	0
454	10083.59863359927	38831.93410366467	0
455	10087.88914100485	38835.04081646938	0
456	10087.88876019966	38835.04059900869	0
457	10088.80167002178	38835.5451547437	0
458	10087.88894633931	38835.04083886462	0
459	10088.79866828144	38835.54489821451	0
460	10088.79868265467	38835.5448935275	0
461	10122.51724069186	38856.40402372555	0
462	10122.51118622883	38856.39661285821	0
463	10123.3479495762	38856.96694395591	0
464	10122.5172406925	38856.40402372633	0
465	10123.34850623047	38856.96787018562	0
466	10123.34891908825	38856.96804791323	0
467	10153.291675243	38872.24027559479	0
468	10153.29073737787	38872.24901024824	0
